provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
PBA,1,6670,Estatal,Urbano,2,3,403.07648,524.49805,-.35480306,2,2,-9,1,5,3,CENTRO,2
PBA,1,6671,Estatal,Urbano,1,3,383.25223,475.77649,-.45286173,2,2,2,1,4,4,CENTRO,2
PBA,1,6672,Estatal,Urbano,3,3,474.39758,526.19086,-.4831042,2,3,-9,2,4,4,CENTRO,2
PBA,2,6645,Estatal,Urbano,2,2,401.37683,408.39764,-.44168782,2,3,1,2,6,4,CENTRO,2
PBA,2,6648,Estatal,Urbano,3,1,527.42395,388.19003,-.65812504,2,2,2,1,5,5,CENTRO,2
PBA,2,6649,Estatal,Urbano,2,1,401.85764,398.82227,.41172111,2,2,2,1,7,4,CENTRO,2
PBA,2,6650,Estatal,Urbano,2,1,395.46317,397.42599,-.85765177,2,2,2,1,3,5,CENTRO,2
PBA,2,6651,Estatal,Urbano,3,2,466.71347,444.19913,-2.0320942,1,3,2,2,4,1,CENTRO,2
PBA,2,6652,Estatal,Urbano,3,2,451.34885,461.15707,-1.4526502,1,3,2,2,5,6,CENTRO,2
PBA,2,6653,Estatal,Urbano,3,3,457.20004,498.15945,.35154989,2,1,2,0,5,7,CENTRO,2
CAB,1,388056,Privado,Urbano,3,4,540.95801,632.87262,1.1636132,3,2,2,1,5,7,CENTRO,2
CAB,1,388057,Privado,Urbano,3,2,512.44287,455.21133,-.060473487,2,2,1,1,4,5,CENTRO,2
CAB,1,388058,Privado,Urbano,3,3,537.90204,570.31891,.77847612,2,2,2,1,7,7,CENTRO,2
CAB,1,388059,Privado,Urbano,4,2,550.32941,450.02722,.92589754,2,2,2,1,7,7,CENTRO,2
CAB,1,388060,Privado,Urbano,2,3,439.87878,496.22,.35214362,2,2,2,1,5,5,CENTRO,2
CAB,1,388061,Privado,Urbano,4,3,683.0094,571.00354,.22976169,2,2,1,1,5,5,CENTRO,2
CAB,1,388062,Privado,Urbano,3,3,539.86194,491.35443,.20843333,2,2,2,1,2,5,CENTRO,2
CAB,1,388064,Privado,Urbano,3,3,533.75385,550.34137,1.2091135,3,2,1,1,6,7,CENTRO,2
CAB,1,388065,Privado,Urbano,4,3,579.43872,574.29828,1.086651,3,2,2,1,7,7,CENTRO,2
CAB,1,388066,Privado,Urbano,4,3,612.93719,568.95752,.95716929,2,2,2,1,6,7,CENTRO,2
CAB,1,388067,Privado,Urbano,4,3,675.58197,523.91168,-.35480306,2,2,2,1,5,3,CENTRO,2
CAB,1,388070,Privado,Urbano,4,3,652.05804,573.26202,.64943677,2,2,2,1,5,4,CENTRO,2
CAB,1,388071,Privado,Urbano,4,4,640.68707,675.10236,.76484132,2,2,2,1,5,5,CENTRO,2
CAB,1,388072,Privado,Urbano,4,3,589.65045,534.86768,.68085986,2,2,2,1,5,5,CENTRO,2
CAB,1,388073,Privado,Urbano,3,3,482.86917,469.65637,.91166896,2,2,2,1,5,7,CENTRO,2
CAB,1,388074,Privado,Urbano,3,3,453.64468,543.76196,.34512442,2,2,1,1,3,5,CENTRO,2
CAB,1,388075,Privado,Urbano,4,4,664.01648,665.68744,1.3385952,3,2,1,1,7,7,CENTRO,2
CAB,1,388076,Privado,Urbano,3,3,514.68988,521.05054,1.3385952,3,2,2,1,7,7,CENTRO,2
CAB,1,388078,Privado,Urbano,1,1,337.55875,328.28516,-.23733912,2,2,2,1,6,7,CENTRO,2
CAB,1,388079,Privado,Urbano,3,3,510.47043,576.33337,.32773972,2,1,2,0,7,4,CENTRO,2
CAB,1,388080,Privado,Urbano,2,1,399.72107,334.71152,1.086651,3,2,2,1,7,7,CENTRO,2
CAB,1,388081,Privado,Urbano,4,4,664.38525,682.98071,1.3385952,3,2,2,1,7,7,CENTRO,2
CAB,1,388082,Privado,Urbano,4,3,597.04047,486.09103,.59687847,2,2,2,1,5,5,CENTRO,2
CAB,1,388083,Privado,Urbano,3,2,466.4162,413.49765,.35199222,2,2,1,1,4,4,CENTRO,2
CAB,1,388086,Privado,Urbano,2,3,436.55411,498.28268,.33458734,2,2,1,1,7,7,CENTRO,2
CAB,1,388087,Privado,Urbano,4,3,621.63562,540.95398,.4497599,2,2,1,1,7,7,CENTRO,2
CAB,2,388022,Privado,Urbano,4,3,605.81531,568.10278,-.20814371,2,2,2,1,4,4,CENTRO,2
CAB,2,388023,Privado,Urbano,3,3,531.73712,577.15839,1.2546139,3,2,1,1,7,7,CENTRO,2
CAB,2,388024,Privado,Urbano,4,4,582.32715,594.77222,.99238169,2,2,2,1,7,4,CENTRO,2
CAB,2,388025,Privado,Urbano,2,2,422.97391,461.15424,-.68359017,2,2,-9,1,3,2,CENTRO,2
CAB,2,388026,Privado,Urbano,4,3,606.5976,584.96075,-.040012609,2,2,1,1,5,5,CENTRO,2
CAB,2,388027,Privado,Urbano,3,3,493.79962,490.27869,1.3385952,3,2,2,1,7,7,CENTRO,2
CAB,2,388028,Privado,Urbano,4,4,645.36536,639.74567,1.1706324,3,2,2,1,7,7,CENTRO,2
CAB,2,388029,Privado,Urbano,4,4,678.22473,641.30927,.77847612,2,2,1,1,7,7,CENTRO,2
CAB,2,388030,Privado,Urbano,4,3,661.58441,509.66266,.11381735,2,2,1,1,7,7,CENTRO,2
CAB,2,388031,Privado,Urbano,4,2,552.30188,454.45389,.20197034,2,2,2,1,7,7,CENTRO,2
CAB,2,388032,Privado,Urbano,4,3,640.84686,526.05737,1.2546139,3,2,2,1,7,7,CENTRO,2
CAB,2,388033,Privado,Urbano,4,4,662.91492,598.23663,1.0304204,3,2,2,1,7,7,CENTRO,2
CAB,2,388034,Privado,Urbano,4,3,639.27142,488.49487,.84191614,2,2,2,1,7,7,CENTRO,2
CAB,2,388035,Privado,Urbano,4,4,635.84967,591.90186,1.009879,3,2,2,1,7,7,CENTRO,2
CAB,2,388036,Privado,Urbano,3,2,542.64294,428.33435,1.3385952,3,2,2,1,7,7,CENTRO,2
