provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
SFE,2,778195,Estatal,Urbano,2,1,394.21866,380.98859,.043817423,2,2,2,1,4,4,CENTRO,2
SFE,2,778196,Estatal,Urbano,4,2,566.20599,432.86093,-.46649656,2,2,2,1,2,2,CENTRO,2
SFE,2,778197,Estatal,Urbano,3,3,468.91492,522.44269,.59702986,2,2,2,1,6,6,CENTRO,2
SFE,2,778198,Estatal,Urbano,3,2,505.48233,444.57449,.59702986,2,2,2,1,6,6,CENTRO,2
SFE,2,778199,Estatal,Urbano,3,3,522.13928,541.27631,.51995504,2,2,2,1,4,4,CENTRO,2
SFE,2,778200,Estatal,Urbano,1,1,357.2973,358.75998,.68085986,2,2,2,1,5,5,CENTRO,2
SFE,2,778201,Estatal,Urbano,3,3,545.1712,519.93268,1.4225767,3,2,1,1,7,7,CENTRO,2
SFE,2,778202,Estatal,Urbano,4,2,559.50018,432.48093,.39047334,2,2,2,1,3,4,CENTRO,2
SFE,2,778203,Estatal,Urbano,2,2,414.07733,409.32745,1.0938604,3,2,2,1,7,7,CENTRO,2
SFE,2,778204,Estatal,Urbano,3,3,498.86481,538.10461,-.28489888,2,2,2,1,4,4,CENTRO,2
SFE,2,778205,Estatal,Urbano,4,2,668.91931,452.96976,.043817423,2,2,2,1,4,4,CENTRO,2
SFE,3,779454,Estatal,Urbano,3,2,453.55981,446.31873,.25787428,2,2,2,1,5,2,CENTRO,2
SFE,3,779455,Estatal,Urbano,3,2,494.81985,421.79819,-.52272719,2,2,2,1,2,2,CENTRO,2
SFE,3,779456,Estatal,Urbano,3,3,536.73828,571.29443,-.15170608,2,2,2,1,2,4,CENTRO,2
SFE,3,779457,Estatal,Urbano,3,1,511.45712,352.45947,.26816222,2,2,2,1,5,5,CENTRO,2
SFE,3,779458,Estatal,Urbano,2,3,419.74359,487.33109,-1.9497523,1,3,2,2,5,3,CENTRO,2
SFE,3,779459,Estatal,Urbano,3,2,513.5174,451.27069,-.77367043,2,2,2,1,3,5,CENTRO,2
SFE,3,779460,Estatal,Urbano,4,4,639.29987,638.91547,.68085986,2,1,2,0,5,5,CENTRO,2
SFE,3,779461,Estatal,Urbano,3,2,451.41473,412.63333,-.31555301,2,2,2,1,5,5,CENTRO,2
SFE,3,779462,Estatal,Urbano,4,2,568.13287,445.21786,-.40007141,2,2,2,1,4,4,CENTRO,2
SFE,3,779463,Estatal,Urbano,4,3,623.71936,569.53333,.74043745,2,2,2,1,7,6,CENTRO,2
SFE,3,779464,Estatal,Urbano,3,3,508.52316,487.52695,.14578027,2,2,2,1,5,5,CENTRO,2
SFE,3,779465,Estatal,Urbano,3,2,470.16144,455.60419,-1.4431926,1,2,2,1,4,1,CENTRO,2
SFE,3,779466,Estatal,Urbano,1,1,358.78983,338.92383,-.79907525,2,1,1,0,4,1,CENTRO,2
SFE,3,779467,Estatal,Urbano,2,1,410.36157,352.30682,.77516812,2,2,-9,1,2,7,CENTRO,2
SFE,3,779468,Estatal,Urbano,1,1,382.08322,387.55298,-1.0195576,2,2,2,1,1,1,CENTRO,2
SFE,3,779469,Estatal,Urbano,1,1,379.44705,334.9053,.02312457,2,2,-9,1,4,3,CENTRO,2
